                     

WYKRES 0


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.478147	-0.958147	0.478147	0
	Druga pochodna z ilorazu roznicowego:
	1.46581e-09	0.0449432	-1.99003	0.0449432	1.46581e-09	             -5	    1.38879e-11
           -4.9	     -0.0169831
           -4.8	     -0.0338022
           -4.7	     -0.0502933
           -4.6	     -0.0662922
           -4.5	     -0.0816349
           -4.4	     -0.0961574
           -4.3	      -0.109696
           -4.2	      -0.122086
           -4.1	      -0.133163
             -4	      -0.142765
           -3.9	      -0.150725
           -3.8	      -0.156882
           -3.7	       -0.16107
           -3.6	      -0.163125
           -3.5	      -0.162884
           -3.4	      -0.160182
           -3.3	      -0.154855
           -3.2	       -0.14674
           -3.1	      -0.135672
             -3	      -0.121487
           -2.9	      -0.104021
           -2.8	     -0.0831109
           -2.7	     -0.0585914
           -2.6	      -0.030299
           -2.5	     0.00193045
           -2.4	      0.0381607
           -2.3	      0.0780542
           -2.2	       0.121173
           -2.1	       0.167081
             -2	       0.215338
           -1.9	       0.265508
           -1.8	       0.317153
           -1.7	       0.369835
           -1.6	       0.423117
           -1.5	        0.47656
           -1.4	       0.529728
           -1.3	       0.582182
           -1.2	       0.633485
           -1.1	       0.683199
             -1	       0.730886
           -0.9	       0.776109
           -0.8	       0.818429
           -0.7	       0.857411
           -0.6	       0.892614
           -0.5	       0.923603
           -0.4	       0.949939
           -0.3	       0.971184
           -0.2	       0.986901
           -0.1	       0.996652
   -1.02696e-15	              1
            0.1	       0.996652
            0.2	       0.986901
            0.3	       0.971184
            0.4	       0.949939
            0.5	       0.923603
            0.6	       0.892614
            0.7	       0.857411
            0.8	       0.818429
            0.9	       0.776109
              1	       0.730886
            1.1	       0.683199
            1.2	       0.633485
            1.3	       0.582182
            1.4	       0.529728
            1.5	        0.47656
            1.6	       0.423117
            1.7	       0.369835
            1.8	       0.317153
            1.9	       0.265508
              2	       0.215338
            2.1	       0.167081
            2.2	       0.121173
            2.3	      0.0780542
            2.4	      0.0381607
            2.5	     0.00193045
            2.6	      -0.030299
            2.7	     -0.0585914
            2.8	     -0.0831109
            2.9	      -0.104021
              3	      -0.121487
            3.1	      -0.135672
            3.2	       -0.14674
            3.3	      -0.154855
            3.4	      -0.160182
            3.5	      -0.162884
            3.6	      -0.163125
            3.7	       -0.16107
            3.8	      -0.156882
            3.9	      -0.150725
              4	      -0.142765
            4.1	      -0.133163
            4.2	      -0.122086
            4.3	      -0.109696
            4.4	     -0.0961574
            4.5	     -0.0816349
            4.6	     -0.0662922
            4.7	     -0.0502933
            4.8	     -0.0338022
            4.9	     -0.0169831
              5	    1.38875e-11
*********************************DLA 10 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.000369554	0.0542068	0.994115	-0.699128	-0.699128	0.994115	0.0542068	0.000369554	0
	Druga pochodna z ilorazu roznicowego:
	1.46581e-09	7.29514e-06	0.00428651	0.257575	0.729646	0.729646	0.257575	0.00428651	7.29514e-06	1.46581e-09	             -5	    1.38879e-11
           -4.9	   -0.000561222
           -4.8	    -0.00108843
           -4.7	    -0.00154761
           -4.6	    -0.00190475
           -4.5	    -0.00212583
           -4.4	    -0.00217684
           -4.3	    -0.00202376
           -4.2	    -0.00163259
           -4.1	   -0.000969302
             -4	    1.12535e-07
           -3.9	     0.00127578
           -3.8	     0.00272225
           -3.7	     0.00417021
           -3.6	     0.00545031
           -3.5	     0.00639322
           -3.4	     0.00682962
           -3.3	     0.00659017
           -3.2	     0.00550554
           -3.1	      0.0034064
             -3	     0.00012341
           -2.9	    -0.00435937
           -2.8	    -0.00944433
           -2.7	     -0.0143805
           -2.6	     -0.0184169
           -2.5	     -0.0208025
           -2.4	     -0.0207863
           -2.3	     -0.0176174
           -2.2	     -0.0105448
           -2.1	     0.00118257
             -2	      0.0183156
           -1.9	      0.0413211
           -1.8	      0.0695285
           -1.7	       0.101983
           -1.6	        0.13773
           -1.5	       0.175814
           -1.4	       0.215281
           -1.3	       0.255176
           -1.2	       0.294544
           -1.1	        0.33243
             -1	       0.367879
           -0.9	       0.400097
           -0.8	       0.428923
           -0.7	       0.454358
           -0.6	       0.476402
           -0.5	       0.495054
           -0.4	       0.510315
           -0.3	       0.522184
           -0.2	       0.530663
           -0.1	        0.53575
   -1.02696e-15	       0.537445
            0.1	        0.53575
            0.2	       0.530663
            0.3	       0.522184
            0.4	       0.510315
            0.5	       0.495054
            0.6	       0.476402
            0.7	       0.454358
            0.8	       0.428923
            0.9	       0.400097
              1	       0.367879
            1.1	        0.33243
            1.2	       0.294544
            1.3	       0.255176
            1.4	       0.215281
            1.5	       0.175814
            1.6	        0.13773
            1.7	       0.101983
            1.8	      0.0695285
            1.9	      0.0413211
              2	      0.0183156
            2.1	     0.00118257
            2.2	     -0.0105448
            2.3	     -0.0176174
            2.4	     -0.0207863
            2.5	     -0.0208025
            2.6	     -0.0184169
            2.7	     -0.0143805
            2.8	    -0.00944433
            2.9	    -0.00435937
              3	     0.00012341
            3.1	      0.0034064
            3.2	     0.00550554
            3.3	     0.00659017
            3.4	     0.00682962
            3.5	     0.00639322
            3.6	     0.00545031
            3.7	     0.00417021
            3.8	     0.00272225
            3.9	     0.00127578
              4	    1.12535e-07
            4.1	   -0.000969302
            4.2	    -0.00163259
            4.3	    -0.00202376
            4.4	    -0.00217684
            4.5	    -0.00212583
            4.6	    -0.00190475
            4.7	    -0.00154761
            4.8	    -0.00108843
            4.9	   -0.000561222
              5	    1.38879e-11
*********************************DLA 20 WEZLOW*********************************


	Druga pochodna wzorami:
	0	1.31206e-06	5.47398e-05	0.00136743	0.020261	0.174938	0.848381	2.10476	1.78129	-3.28737	-3.28737	1.78129	2.10476	0.848381	0.174938	0.020261	0.00136743	5.47398e-05	1.31206e-06	0
	Druga pochodna z ilorazu roznicowego:
