       Nazwisko       2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020

         AdGó          --   --   --   --   --  94.0 94.0 63.0 50.0 51.0 49.0 46.0 86.0 86.0 80.0 71.0 71.0 69.0 85.0 95.0 93.0
         AdKe          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  95.0 94.0
         AdKr          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  63.0 63.0 58.0
       AdiMiPl         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  56.0 48.0  --  68.0
         AlWe          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  31.0 68.0 64.0
         AnWa         13.0 35.0 14.0 21.0 27.0 30.0 30.0 35.0 44.0 55.0 56.0 54.0 52.0 52.0 46.0 51.0 51.0 45.0 55.0 49.0 92.0
         AnWi          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  45.0 25.0
       AniZyOl        21.0 11.0 65.0 14.0 14.0 36.0 36.0 33.0 38.0 45.0 67.0 40.0 38.0 38.0 35.0 41.0 41.0 63.0 31.0 27.0 27.0
         AnPo          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  40.0 47.0 50.0 49.0 46.0
       AniRoLe         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  80.0
         AnPt          --   --   --   --   --   --   --   --   --   --   --  10.0 10.0 70.0 11.0 11.0 6.0  9.0  9.0  10.0 16.0
         ArMu          --   --  57.0 52.0 61.0 63.0 63.0 58.0 76.0 79.0 58.0 27.0 27.0 28.0 26.0 26.0 26.0 62.0 31.0 16.0 15.0
         ArPe          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  71.0
         BaIn          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  79.0 88.0 91.0
         DaKe          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  95.0 94.0
         DaMi          --   --   --   --  60.0 72.0 72.0 26.0 20.0 25.0 11.0 9.0  8.0  8.0  8.0  4.0  4.0  4.0  4.0  8.0  11.0
       DaOszro         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  71.0 66.0
         DoKu          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  3.0  3.0  5.0 
         EdŁu          --   --   --   --   --   --   --   --   --   --   --  49.0 49.0  --  49.0 49.0 50.0 57.0 48.0 94.0 96.0
       EwiRyLe         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  69.0  --   --  87.0
         GrKu          --   --   --   --   --   --   --  12.0 46.0 29.0 19.0 11.0 11.0 9.0  10.0 10.0 11.0 19.0 18.0 23.0 24.0
         GrGr         13.0 35.0 15.0 17.0 24.0 28.0 28.0 34.0 42.0 53.0 55.0 53.0 46.0 46.0 51.0 43.0 43.0 41.0 49.0 34.0 72.0
         GrĆw          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  65.0 52.0 49.0
         HeSt         33.0 24.0 19.0 20.0 21.0 15.0 15.0 18.0 33.0 39.0 32.0 21.0 22.0 20.0 21.0 21.0 17.0 22.0 22.0 25.0 26.0
         IgKl          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  88.0 84.0
         IrEr          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  72.0 70.0 67.0
         JaFu          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  55.0 65.0 60.0
         JaSa         54.0 67.0 60.0 96.0118.0125.0125.0  --   --   --   --  77.0 77.0 74.0  --   --   --   --   --  74.0 72.0
         JaCi          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  69.0
       JaiElFi        23.0 87.0 56.0 61.0 63.0 42.0 42.0 62.0 36.0 37.0 59.0 55.0 51.0 51.0 45.0 48.0 48.0  --  73.0 61.0 52.0
         JaDr          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  86.0 88.0
         JeKa          --   --   --   --   --   --   --  69.0 72.0 53.0  --  65.0 65.0 59.0 64.0 64.0 30.0 31.0 34.0 33.0 30.0
         JeSt         9.0  4.0  10.0 10.0 11.0 14.0 14.0 14.0 21.0 19.0 10.0 6.0  9.0  9.0  7.0  9.0  9.0  7.0  5.0  6.0  6.0 
         JóSz          --   --   --   --   --   --   --  74.0 76.0 64.0 83.0 69.0 69.0 63.0 68.0 68.0 34.0 31.0 34.0 33.0 30.0
         JóWi          --   --   --   --   --   --   --   --   --   --   --   --   --   --  91.0 91.0 47.0 39.0 74.0 60.0 56.0
       KaiArBł         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  85.0
         KaHe          --   --   --   --   -- 140.0140.0  --   --   --  97.0 97.0 97.0 78.0 89.0 89.0 76.0 81.0 98.0  --  63.0
         KrGr          --   --   --   --   --  32.0 32.0 37.0 54.0 58.0 54.0 48.0 55.0 55.0 48.0 59.0 59.0 58.0 57.0 54.0 56.0
         KrKl         39.0 38.0 31.0 22.0 18.0 19.0 19.0 21.0 35.0 36.0 22.0 27.0 18.0 18.0 18.0 18.0 18.0 13.0 51.0 53.0 50.0
         KrKo          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  93.0 78.0 29.0
         KrPa          --   --   --   --   -- 109.0109.0 70.0 73.0 61.0 80.0 66.0 66.0 60.0 65.0 65.0 31.0 31.0 34.0 33.0 30.0
         KrSu          --   --   --   --   --   --   --   --   --   --   --  40.0 40.0 38.0 39.0 39.0 35.0 40.0 47.0 44.0 41.0
       KriSoOl         --   --   --   --   --   --   --   --   --   --   --  36.0 36.0  --  32.0 32.0 23.0  --  45.0 30.0 28.0
